Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Vancouver Canucks,1992,46,29,0.6133333333333333,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1992,43,34,0.5584415584415584,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,1992,40,37,0.5194805194805194,Canada Life Centre,"Winnipeg, Manitoba",15321
Anaheim Ducks,1993,33,46,0.4177215189873418,Honda Center,"Anaheim, California",17174
Boston Bruins,1993,42,29,0.5915492957746479,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1993,43,32,0.5733333333333334,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1993,42,29,0.5915492957746479,Scotiabank Saddledome,"Calgary, Alberta",19289
Chicago Blackhawks,1993,39,36,0.52,United Center,"Chicago, Illinois",19717
Dallas Stars,1993,42,29,0.5915492957746479,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,1993,46,30,0.6052631578947368,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1993,25,45,0.35714285714285715,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,1993,33,34,0.4925373134328358,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,1993,27,45,0.375,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1993,41,29,0.5857142857142857,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1993,47,25,0.6527777777777778,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1993,36,36,0.5,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1993,36,36,0.5,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1993,52,24,0.6842105263157895,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1993,14,61,0.18666666666666668,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1993,35,39,0.47297297297297297,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1993,44,27,0.6197183098591549,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
