Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Ottawa Senators,2001,39,27,0.5909090909090909,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2001,42,27,0.6086956521739131,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2001,28,41,0.4057971014492754,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2001,44,27,0.6197183098591549,SAP Center,"San Jose, California",17562
St. Louis Blues,2001,43,27,0.6142857142857143,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2001,27,40,0.40298507462686567,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2001,43,25,0.6323529411764706,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2001,42,30,0.5833333333333334,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2001,36,33,0.5217391304347826,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2002,40,27,0.5970149253731343,Honda Center,"Anaheim, California",17174
Boston Bruins,2002,36,31,0.5373134328358209,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2002,27,37,0.421875,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2002,29,36,0.4461538461538462,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2002,22,43,0.3384615384615385,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2002,29,42,0.4084507042253521,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2002,30,33,0.47619047619047616,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2002,42,19,0.6885245901639344,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2002,46,17,0.7301587301587301,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2002,48,20,0.7058823529411765,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2002,36,26,0.5806451612903226,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2002,24,36,0.4,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2002,33,37,0.4714285714285714,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2002,42,29,0.5915492957746479,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2002,30,35,0.46153846153846156,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2002,27,35,0.43548387096774194,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2002,46,20,0.696969696969697,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2002,35,34,0.5072463768115942,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2002,35,34,0.5072463768115942,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2002,32,36,0.47058823529411764,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2002,52,21,0.7123287671232876,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2002,45,20,0.6923076923076923,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2002,27,44,0.38028169014084506,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2002,28,37,0.4307692307692308,SAP Center,"San Jose, California",17562
St. Louis Blues,2002,41,24,0.6307692307692307,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2002,36,25,0.5901639344262295,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2002,44,28,0.6111111111111112,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2002,45,23,0.6617647058823529,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2002,39,29,0.5735294117647058,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2003,29,35,0.453125,Honda Center,"Anaheim, California",17174
Boston Bruins,2003,41,19,0.6833333333333333,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2003,37,34,0.5211267605633803,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2003,42,30,0.5833333333333334,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2003,28,34,0.45161290322580644,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2003,25,45,0.35714285714285715,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2003,20,43,0.31746031746031744,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2003,40,22,0.6451612903225806,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2003,41,26,0.6119402985074627,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2003,48,21,0.6956521739130435,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2003,36,29,0.5538461538461539,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2003,28,35,0.4444444444444444,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2003,28,29,0.49122807017543857,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2003,30,29,0.5084745762711864,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2003,41,30,0.5774647887323944,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2003,38,29,0.5671641791044776,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2003,43,25,0.6323529411764706,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2003,38,29,0.5671641791044776,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2003,38,29,0.5671641791044776,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2003,27,40,0.40298507462686567,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2003,43,23,0.6515151515151515,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2003,40,21,0.6557377049180327,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2003,23,47,0.32857142857142857,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2003,43,21,0.671875,SAP Center,"San Jose, California",17562
St. Louis Blues,2003,39,30,0.5652173913043478,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2003,46,22,0.6764705882352942,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2003,45,24,0.6521739130434783,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2003,43,24,0.6417910447761194,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2003,23,46,0.3333333333333333,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2005,43,27,0.6142857142857143,Honda Center,"Anaheim, California",17174
Boston Bruins,2005,29,37,0.4393939393939394,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2005,52,24,0.6842105263157895,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2005,46,25,0.647887323943662,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2005,52,22,0.7027027027027027,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2005,35,43,0.44871794871794873,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2005,26,43,0.37681159420289856,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2005,43,30,0.589041095890411,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2005,53,23,0.6973684210526315,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2005,58,16,0.7837837837837838,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2005,41,28,0.5942028985507246,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2005,37,34,0.5211267605633803,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2005,42,35,0.5454545454545454,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2005,38,36,0.5135135135135135,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2005,42,31,0.5753424657534246,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2005,49,25,0.6621621621621622,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2005,46,27,0.6301369863013698,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2005,36,40,0.47368421052631576,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2005,36,40,0.47368421052631576,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2005,44,26,0.6285714285714286,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2005,52,21,0.7123287671232876,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2005,45,26,0.6338028169014085,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2005,22,46,0.3235294117647059,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2005,44,27,0.6197183098591549,SAP Center,"San Jose, California",17562
St. Louis Blues,2005,21,46,0.31343283582089554,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2005,43,33,0.5657894736842105,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2005,41,33,0.5540540540540541,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2005,42,32,0.5675675675675675,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2005,29,41,0.4142857142857143,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2006,48,20,0.7058823529411765,Honda Center,"Anaheim, California",17174
Boston Bruins,2006,35,41,0.4605263157894737,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2006,53,22,0.7066666666666667,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2006,43,29,0.5972222222222222,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2006,40,34,0.5405405405405406,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2006,33,42,0.44,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2006,31,42,0.4246575342465753,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2006,44,31,0.5866666666666667,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2006,50,25,0.6666666666666666,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2006,50,19,0.7246376811594203,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2006,32,43,0.4266666666666667,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2006,35,31,0.5303030303030303,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2006,27,41,0.39705882352941174,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2006,48,26,0.6486486486486487,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2006,42,34,0.5526315789473685,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2006,51,23,0.6891891891891891,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2006,49,24,0.6712328767123288,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2006,40,30,0.5714285714285714,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2006,40,30,0.5714285714285714,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2006,42,30,0.5833333333333334,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2006,48,25,0.6575342465753424,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2006,22,48,0.3142857142857143,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2006,47,24,0.6619718309859155,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2006,51,26,0.6623376623376623,SAP Center,"San Jose, California",17562
St. Louis Blues,2006,34,35,0.4927536231884058,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2006,44,33,0.5714285714285714,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2006,40,31,0.5633802816901409,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2006,49,26,0.6533333333333333,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2006,28,40,0.4117647058823529,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2007,47,27,0.6351351351351351,Honda Center,"Anaheim, California",17174
Boston Bruins,2007,41,29,0.5857142857142857,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2007,39,31,0.5571428571428572,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2007,42,30,0.5833333333333334,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2007,43,33,0.5657894736842105,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2007,34,36,0.4857142857142857,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2007,40,34,0.5405405405405406,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2007,44,31,0.5866666666666667,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2007,45,30,0.6,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2007,54,21,0.72,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2007,41,35,0.5394736842105263,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2007,38,35,0.5205479452054794,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2007,32,43,0.4266666666666667,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2007,44,28,0.6111111111111112,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2007,47,25,0.6527777777777778,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2007,41,32,0.5616438356164384,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2007,46,29,0.6133333333333333,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2007,35,38,0.4794520547945205,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2007,35,38,0.4794520547945205,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2007,42,27,0.6086956521739131,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2007,43,31,0.581081081081081,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2007,42,29,0.5915492957746479,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2007,47,27,0.6351351351351351,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2007,49,23,0.6805555555555556,SAP Center,"San Jose, California",17562
St. Louis Blues,2007,33,36,0.4782608695652174,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2007,31,42,0.4246575342465753,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2007,36,35,0.5070422535211268,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2007,39,33,0.5416666666666666,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2007,43,31,0.581081081081081,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2008,42,33,0.56,Honda Center,"Anaheim, California",17174
Boston Bruins,2008,53,19,0.7361111111111112,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2008,41,32,0.5616438356164384,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2008,46,30,0.6052631578947368,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2008,45,30,0.6,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2008,41,31,0.5694444444444444,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2008,46,24,0.6571428571428571,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2008,32,45,0.4155844155844156,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2008,36,35,0.5070422535211268,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2008,51,21,0.7083333333333334,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2008,38,35,0.5205479452054794,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2008,41,30,0.5774647887323944,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2008,34,37,0.4788732394366197,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2008,40,33,0.547945205479452,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2008,41,30,0.5774647887323944,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2008,40,34,0.5405405405405406,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2008,51,27,0.6538461538461539,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2008,26,47,0.3561643835616438,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2008,26,47,0.3561643835616438,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2008,43,30,0.589041095890411,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2008,36,35,0.5070422535211268,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2008,44,27,0.6197183098591549,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2008,45,28,0.6164383561643836,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2008,53,18,0.7464788732394366,SAP Center,"San Jose, California",17562
St. Louis Blues,2008,41,31,0.5694444444444444,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2008,24,40,0.375,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2008,34,35,0.4927536231884058,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2008,45,27,0.625,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2008,50,24,0.6756756756756757,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2009,39,32,0.5492957746478874,Honda Center,"Anaheim, California",17174
Boston Bruins,2009,39,30,0.5652173913043478,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2009,45,27,0.625,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2009,40,32,0.5555555555555556,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2009,35,37,0.4861111111111111,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2009,32,35,0.47761194029850745,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2009,52,22,0.7027027027027027,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2009,43,30,0.589041095890411,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2009,37,31,0.5441176470588235,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2009,44,24,0.6470588235294118,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2009,27,47,0.36486486486486486,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2009,32,37,0.463768115942029,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2009,46,27,0.6301369863013698,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2009,38,36,0.5135135135135135,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2009,39,33,0.5416666666666666,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2009,47,29,0.618421052631579,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2009,48,27,0.64,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2009,34,37,0.4788732394366197,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2009,34,37,0.4788732394366197,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2009,38,33,0.5352112676056338,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2009,44,32,0.5789473684210527,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2009,41,35,0.5394736842105263,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2009,47,28,0.6266666666666667,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2009,51,20,0.7183098591549296,SAP Center,"San Jose, California",17562
St. Louis Blues,2009,40,32,0.5555555555555556,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2009,34,36,0.4857142857142857,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2009,30,38,0.4411764705882353,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2009,49,28,0.6363636363636364,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2009,54,15,0.782608695652174,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2010,47,30,0.6103896103896104,Honda Center,"Anaheim, California",17174
Boston Bruins,2010,46,25,0.647887323943662,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2010,43,29,0.5972222222222222,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2010,41,29,0.5857142857142857,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2010,40,31,0.5633802816901409,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2010,34,35,0.4927536231884058,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2010,44,29,0.6027397260273972,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2010,30,44,0.40540540540540543,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2010,42,29,0.5915492957746479,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2010,47,25,0.6527777777777778,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2010,25,45,0.35714285714285715,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2010,30,40,0.42857142857142855,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2010,46,30,0.6052631578947368,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2010,39,35,0.527027027027027,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2010,44,30,0.5945945945945946,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2010,44,27,0.6197183098591549,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2010,38,39,0.4935064935064935,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2010,30,39,0.43478260869565216,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2010,30,39,0.43478260869565216,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2010,44,33,0.5714285714285714,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2010,32,40,0.4444444444444444,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2010,47,23,0.6714285714285714,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2010,49,25,0.6621621621621622,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2010,48,25,0.6575342465753424,SAP Center,"San Jose, California",17562
St. Louis Blues,2010,38,33,0.5352112676056338,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2010,46,25,0.647887323943662,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2010,37,34,0.5211267605633803,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2010,54,19,0.7397260273972602,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2010,48,23,0.676056338028169,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,2011,34,36,0.4857142857142857,Honda Center,"Anaheim, California",17174
Boston Bruins,2011,49,29,0.6282051282051282,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,2011,39,32,0.5492957746478874,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,2011,37,29,0.5606060606060606,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2011,33,33,0.5,PNC Arena,"Raleigh, North Carolina",18680
Columbus Blue Jackets,2011,29,46,0.38666666666666666,Nationwide Arena,"Columbus, Ohio",18144
Chicago Blackhawks,2011,45,26,0.6338028169014085,United Center,"Chicago, Illinois",19717
Colorado Avalanche,2011,41,35,0.5394736842105263,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,2011,42,35,0.5454545454545454,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2011,48,28,0.631578947368421,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,2011,32,40,0.4444444444444444,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,2011,38,26,0.59375,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,2011,40,27,0.5970149253731343,Staples Center,"Los Angeles, California",18230
Minnesota Wild,2011,35,36,0.49295774647887325,Xcel Energy Center,"Saint Paul, Minnesota",17954
Montreal Canadiens,2011,31,35,0.4696969696969697,Bell Centre,"Montreal, Quebec",21302
Nashville Predators,2011,48,26,0.6486486486486487,Bridgestone Arena,"Nashville, Tennessee",17113
New Jersey Devils,2011,48,28,0.631578947368421,Prudential Center,"Newark, New Jersey",16514
New York Islanders,2011,34,37,0.4788732394366197,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2011,34,37,0.4788732394366197,Barclays Center,"Brooklyn, New York",15795
New York Rangers,2011,51,24,0.68,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2011,41,31,0.5694444444444444,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,2011,47,26,0.6438356164383562,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,2011,51,25,0.6710526315789473,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,2011,43,29,0.5972222222222222,SAP Center,"San Jose, California",17562
St. Louis Blues,2011,49,22,0.6901408450704225,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2011,38,36,0.5135135135135135,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,2011,35,37,0.4861111111111111,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,2011,51,22,0.6986301369863014,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,2011,42,32,0.5675675675675675,Capital One Arena,"Washington, D.C.",18506
Winnipeg Jets,2011,37,35,0.5138888888888888,Canada Life Centre,"Winnipeg, Manitoba",15321
Chicago Blackhawks,2012,36,7,0.8372093023255814,United Center,"Chicago, Illinois",19717
Pittsburgh Penguins,2012,36,12,0.75,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
Anaheim Ducks,2012,30,12,0.7142857142857143,Honda Center,"Anaheim, California",17174
Montreal Canadiens,2012,29,14,0.6744186046511628,Bell Centre,"Montreal, Quebec",21302
Boston Bruins,2012,28,14,0.6666666666666666,TD Garden,"Boston, Massachusetts",17565
St. Louis Blues,2012,29,17,0.6304347826086957,Enterprise Center,"St. Louis, Missouri",18724
Vancouver Canucks,2012,26,15,0.6341463414634146,Rogers Arena,"Vancouver, British Columbia",18910
Los Angeles Kings,2012,27,16,0.627906976744186,Staples Center,"Los Angeles, California",18230
Washington Capitals,2012,27,18,0.6,Capital One Arena,"Washington, D.C.",18506
Toronto Maple Leafs,2012,26,17,0.6046511627906976,Scotiabank Arena,"Toronto, Ontario",18819
San Jose Sharks,2012,25,16,0.6097560975609756,SAP Center,"San Jose, California",17562
Detroit Red Wings,2012,24,16,0.6,Little Caesars Arena,"Detroit, Michigan",19515
New York Rangers,2012,26,18,0.5909090909090909,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,2012,25,17,0.5952380952380952,Canadian Tire Centre,"Ottawa, Ontario",17373
Minnesota Wild,2012,26,19,0.5777777777777777,Xcel Energy Center,"Saint Paul, Minnesota",17954
Columbus Blue Jackets,2012,24,17,0.5853658536585366,Nationwide Arena,"Columbus, Ohio",18144
New York Islanders,2012,24,17,0.5853658536585366,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2012,24,17,0.5853658536585366,Barclays Center,"Brooklyn, New York",15795
Winnipeg Jets,2012,24,21,0.5333333333333333,Canada Life Centre,"Winnipeg, Manitoba",15321
Philadelphia Flyers,2012,23,22,0.5111111111111111,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Buffalo Sabres,2012,21,21,0.5,KeyBank Center,"Buffalo, New York",19070
Dallas Stars,2012,22,22,0.5,American Airlines Center,"Dallas, Texas",18532
